Year,Area_Type,State_UT,Crime_Category,Crime_Subcategory,Victim_Gender,Victim_Age_Group,Cases_Reported,Cases_Solved,Cases_Pending,Cases_Investigated,Cases_Not_Investigated
2007,Rural,Goa,Crime Against Children,Child Abuse,Female,31-45,4700,2035,2665,4615,85
2006,Rural,Uttarakhand,Crime Against Children,Child Labor,Male,18-30,355,239,116,269,86
2007,Rural,Madhya Pradesh,Crime Against Children,Kidnapping,Female,18-30,3213,575,2638,1896,1317
2002,Rural,Punjab,Property Crime,Burglary,Male,60+,3420,2309,1111,3093,327
2008,Rural,Madhya Pradesh,Crime Against Men,Extortion,Male,31-45,4577,1153,3424,1507,3070
2008,Urban,Madhya Pradesh,Other Crimes,Fraud,Male,13-17,1580,923,657,1469,111
2010,Urban,Sikkim,Crime Against Men,Robbery,Female,0-12,8453,8173,280,8411,42
2006,Urban,Maharashtra,Property Crime,Vandalism,Male,18-30,1592,237,1355,959,633
2010,Urban,Gujarat,Property Crime,Arson,Male,18-30,3170,2078,1092,2295,875
2001,Urban,Maharashtra,Other Crimes,Cyber Crime,Female,46-60,6095,3205,2890,5538,557
2010,Rural,Jammu & Kashmir,Crime Against Men,Extortion,Female,0-12,194,68,126,126,68
2007,Rural,Delhi,Crime Against Women,Domestic Violence,Male,60+,5547,3596,1951,4753,794
2001,Rural,Manipur,Crime Against Children,Trafficking,Male,46-60,4787,666,4121,2081,2706
2008,Rural,Odisha,Crime Against Men,Assault,Female,60+,1008,995,13,995,13
2003,Rural,Haryana,Crime Against Children,Child Abuse,Male,60+,9000,7150,1850,8917,83
2006,Urban,Uttarakhand,Crime Against Men,Murder,Female,18-30,9504,3325,6179,8819,685
2003,Urban,Chhattisgarh,Crime Against Women,Dowry Deaths,Female,46-60,2745,1275,1470,1961,784
2004,Urban,Andhra Pradesh,Property Crime,Theft,Female,60+,6857,4685,2172,6006,851
2003,Urban,Haryana,Crime Against Women,Rape,Male,46-60,1875,970,905,1709,166
2006,Rural,Maharashtra,Other Crimes,Corruption,Female,0-12,5687,3520,2167,4788,899
2003,Rural,Madhya Pradesh,Crime Against Men,Murder,Male,46-60,1226,525,701,730,496
2003,Rural,Meghalaya,Other Crimes,Corruption,Female,60+,5808,1191,4617,3164,2644
2006,Urban,Gujarat,Crime Against Men,Robbery,Female,60+,190,147,43,167,23
2009,Rural,Meghalaya,Crime Against Women,Molestation,Female,0-12,1368,723,645,1269,99
2009,Rural,Manipur,Crime Against Men,Extortion,Female,60+,2459,932,1527,1263,1196
2009,Urban,Assam,Crime Against Women,Molestation,Male,60+,355,25,330,171,184
2008,Urban,West Bengal,Crime Against Men,Extortion,Female,31-45,5074,440,4634,4286,788
2005,Urban,Arunachal Pradesh,Crime Against Women,Dowry Deaths,Male,46-60,3461,3210,251,3430,31
2008,Urban,Uttar Pradesh,Property Crime,Vandalism,Female,46-60,6190,567,5623,5748,442
2009,Urban,Chhattisgarh,Other Crimes,Cyber Crime,Female,0-12,7034,1993,5041,6023,1011
2009,Urban,Haryana,Other Crimes,Drug Offense,Male,0-12,2192,822,1370,1340,852
2008,Rural,Tripura,Crime Against Women,Dowry Deaths,Female,0-12,1990,1712,278,1888,102
2005,Urban,Goa,Property Crime,Burglary,Male,0-12,451,133,318,325,126
2007,Urban,Madhya Pradesh,Crime Against Children,Kidnapping,Male,31-45,9475,5589,3886,6849,2626
2009,Rural,Arunachal Pradesh,Crime Against Men,Murder,Female,60+,3916,2544,1372,3354,562
2007,Urban,Maharashtra,Crime Against Men,Extortion,Male,0-12,4817,4264,553,4580,237
2007,Rural,Gujarat,Crime Against Women,Rape,Female,46-60,9447,6978,2469,7693,1754
2010,Rural,Assam,Crime Against Children,Child Abuse,Male,13-17,1931,395,1536,1070,861
2007,Rural,Himachal Pradesh,Crime Against Children,Kidnapping,Male,31-45,6211,3318,2893,5282,929
2003,Rural,Haryana,Crime Against Women,Molestation,Female,60+,6987,1605,5382,6836,151
2001,Urban,Bihar,Crime Against Children,Kidnapping,Male,18-30,1041,386,655,834,207
2002,Urban,Himachal Pradesh,Property Crime,Burglary,Female,0-12,5268,2973,2295,4555,713
2006,Urban,Arunachal Pradesh,Crime Against Women,Molestation,Female,31-45,828,47,781,309,519
2010,Urban,Manipur,Other Crimes,Fraud,Male,13-17,8280,2342,5938,4514,3766
2010,Urban,Telangana,Crime Against Men,Murder,Male,31-45,8086,3345,4741,4327,3759
2006,Rural,Punjab,Crime Against Men,Robbery,Male,60+,9958,6146,3812,9821,137
2006,Rural,Goa,Crime Against Men,Robbery,Female,13-17,8052,441,7611,5592,2460
2001,Urban,Goa,Other Crimes,Fraud,Male,13-17,3909,130,3779,3263,646
2010,Rural,Rajasthan,Crime Against Women,Domestic Violence,Female,60+,7492,4965,2527,6043,1449
2001,Rural,Sikkim,Property Crime,Burglary,Female,31-45,7008,6909,99,6958,50
2005,Rural,Uttarakhand,Property Crime,Vandalism,Male,13-17,3297,466,2831,2574,723
2003,Urban,Haryana,Other Crimes,Cyber Crime,Male,0-12,3504,2827,677,3326,178
2004,Urban,Jharkhand,Crime Against Men,Murder,Male,0-12,9683,5150,4533,9267,416
2001,Urban,Punjab,Crime Against Women,Molestation,Male,0-12,938,354,584,934,4
2007,Urban,Odisha,Other Crimes,Drug Offense,Female,18-30,1179,929,250,932,247
2009,Rural,Kerala,Crime Against Men,Robbery,Male,0-12,6681,2821,3860,2909,3772
2002,Rural,Gujarat,Property Crime,Theft,Male,31-45,9512,1430,8082,1652,7860
2005,Rural,Punjab,Crime Against Men,Extortion,Male,46-60,7306,5621,1685,6280,1026
2007,Rural,Odisha,Property Crime,Theft,Female,0-12,3529,2597,932,2692,837
2005,Urban,Odisha,Crime Against Children,Trafficking,Male,31-45,9285,7064,2221,7257,2028
2004,Urban,Arunachal Pradesh,Crime Against Women,Molestation,Female,0-12,7301,4512,2789,6307,994
2006,Rural,Delhi,Other Crimes,Fraud,Female,0-12,5489,4826,663,4884,605
2005,Rural,Sikkim,Crime Against Men,Assault,Female,60+,9522,3601,5921,4309,5213
2008,Rural,Telangana,Crime Against Women,Molestation,Female,13-17,3778,1712,2066,3132,646
2010,Urban,West Bengal,Other Crimes,Fraud,Male,13-17,3056,1634,1422,1895,1161
2010,Rural,Karnataka,Property Crime,Theft,Male,31-45,4069,3942,127,4038,31
2008,Urban,Telangana,Crime Against Women,Molestation,Male,60+,6333,900,5433,5439,894
2008,Urban,Kerala,Crime Against Women,Dowry Deaths,Male,31-45,2027,1827,200,1856,171
2003,Urban,Assam,Crime Against Women,Domestic Violence,Male,46-60,3271,687,2584,2561,710
2002,Rural,Sikkim,Property Crime,Vandalism,Male,60+,4077,2791,1286,3309,768
2002,Rural,Nagaland,Crime Against Children,Kidnapping,Female,0-12,7162,315,6847,1613,5549
2007,Rural,Haryana,Property Crime,Burglary,Female,0-12,5169,1306,3863,1383,3786
2008,Urban,Tamil Nadu,Crime Against Children,Child Abuse,Female,13-17,7706,55,7651,2949,4757
2010,Urban,Assam,Crime Against Men,Robbery,Male,13-17,3539,1030,2509,2261,1278
2001,Urban,Haryana,Crime Against Men,Robbery,Female,13-17,7350,1962,5388,6584,766
2005,Urban,Assam,Property Crime,Arson,Male,31-45,3036,34,3002,1671,1365
2006,Rural,Rajasthan,Crime Against Children,Trafficking,Female,13-17,7956,394,7562,7835,121
2003,Urban,Rajasthan,Crime Against Men,Robbery,Female,0-12,488,13,475,103,385
2002,Rural,Karnataka,Property Crime,Arson,Male,18-30,3878,1488,2390,1673,2205
2009,Rural,Sikkim,Other Crimes,Drug Offense,Male,31-45,5534,4629,905,5229,305
2008,Rural,Uttarakhand,Property Crime,Theft,Male,13-17,7639,2739,4900,5068,2571
2002,Rural,Bihar,Crime Against Women,Rape,Male,46-60,7868,789,7079,3517,4351
2001,Urban,Mizoram,Crime Against Women,Rape,Female,60+,5348,381,4967,2529,2819
2007,Urban,Chhattisgarh,Crime Against Children,Trafficking,Male,13-17,5633,1926,3707,3797,1836
2010,Rural,Jharkhand,Crime Against Women,Domestic Violence,Male,13-17,5762,144,5618,3859,1903
2004,Urban,Haryana,Crime Against Children,Child Abuse,Male,31-45,1526,27,1499,543,983
2004,Rural,Odisha,Crime Against Men,Robbery,Male,60+,7492,6899,593,7109,383
2009,Urban,Tripura,Other Crimes,Fraud,Female,18-30,6984,4218,2766,5518,1466
2008,Rural,Punjab,Property Crime,Arson,Female,0-12,510,79,431,233,277
2010,Urban,Tamil Nadu,Crime Against Men,Robbery,Male,0-12,4599,1864,2735,3508,1091
2007,Rural,Madhya Pradesh,Other Crimes,Cyber Crime,Male,31-45,9960,9330,630,9656,304
2001,Rural,Haryana,Other Crimes,Cyber Crime,Female,13-17,7644,4036,3608,5553,2091
2010,Urban,Rajasthan,Crime Against Men,Extortion,Male,0-12,5516,1124,4392,3980,1536
2007,Urban,Himachal Pradesh,Crime Against Children,Child Abuse,Male,46-60,1784,346,1438,698,1086
2008,Urban,Rajasthan,Other Crimes,Drug Offense,Male,31-45,1900,531,1369,1354,546
2004,Urban,Chhattisgarh,Crime Against Men,Extortion,Male,0-12,571,83,488,228,343
2003,Urban,Mizoram,Crime Against Men,Murder,Male,60+,2871,2427,444,2848,23
2002,Urban,Tripura,Other Crimes,Fraud,Female,60+,5953,5279,674,5643,310
2008,Rural,Mizoram,Crime Against Women,Rape,Female,60+,931,769,162,884,47
2003,Urban,Haryana,Property Crime,Arson,Female,46-60,737,725,12,737,0
2002,Rural,Arunachal Pradesh,Property Crime,Burglary,Male,0-12,5781,1631,4150,4244,1537
2005,Urban,Haryana,Crime Against Women,Rape,Female,46-60,7832,4504,3328,5924,1908
2005,Rural,Punjab,Crime Against Men,Assault,Female,31-45,5013,4124,889,4685,328
2004,Urban,Maharashtra,Other Crimes,Corruption,Male,0-12,4656,3992,664,4085,571
2009,Urban,Arunachal Pradesh,Crime Against Men,Murder,Female,18-30,1246,147,1099,435,811
2008,Rural,Manipur,Other Crimes,Drug Offense,Male,0-12,5664,655,5009,4385,1279
2004,Rural,Sikkim,Crime Against Men,Robbery,Male,18-30,3818,1622,2196,3100,718
2007,Urban,Maharashtra,Other Crimes,Drug Offense,Female,13-17,6942,1876,5066,2943,3999
2010,Urban,West Bengal,Property Crime,Vandalism,Male,46-60,3434,151,3283,2524,910
2005,Rural,Jharkhand,Crime Against Women,Molestation,Female,18-30,9754,1144,8610,9047,707
2002,Urban,Madhya Pradesh,Crime Against Women,Domestic Violence,Female,13-17,6917,2742,4175,5841,1076
2007,Urban,Rajasthan,Property Crime,Theft,Female,18-30,9103,6444,2659,8812,291
2009,Urban,Uttarakhand,Crime Against Children,Child Abuse,Female,18-30,8848,5695,3153,6063,2785
2007,Urban,West Bengal,Crime Against Women,Molestation,Female,13-17,6724,812,5912,6000,724
2003,Urban,Haryana,Other Crimes,Cyber Crime,Male,18-30,4739,4717,22,4731,8
2001,Urban,Meghalaya,Crime Against Men,Assault,Male,0-12,447,163,284,314,133
2004,Rural,Kerala,Property Crime,Burglary,Male,18-30,6426,6387,39,6388,38
2001,Rural,Madhya Pradesh,Property Crime,Arson,Female,60+,9382,1795,7587,8858,524
2003,Rural,Gujarat,Property Crime,Theft,Female,13-17,2003,929,1074,1226,777
2010,Urban,Andhra Pradesh,Crime Against Women,Molestation,Male,13-17,7295,3093,4202,6047,1248
2005,Urban,Punjab,Crime Against Children,Child Abuse,Female,0-12,8024,6982,1042,6999,1025
2004,Urban,Odisha,Crime Against Children,Trafficking,Male,0-12,2338,2153,185,2295,43
2001,Rural,Uttarakhand,Other Crimes,Drug Offense,Female,13-17,7413,1317,6096,6139,1274
2006,Rural,Telangana,Property Crime,Burglary,Female,46-60,5050,4600,450,4627,423
2001,Rural,Madhya Pradesh,Crime Against Children,Child Abuse,Male,0-12,1052,528,524,546,506
2006,Urban,Assam,Crime Against Men,Murder,Male,46-60,9786,6205,3581,8587,1199
2008,Rural,Delhi,Property Crime,Vandalism,Female,0-12,7829,574,7255,5671,2158
2004,Rural,Himachal Pradesh,Other Crimes,Cyber Crime,Female,46-60,6977,1013,5964,3763,3214
2007,Rural,Chhattisgarh,Other Crimes,Corruption,Male,0-12,3815,1185,2630,2939,876
2004,Rural,Mizoram,Property Crime,Arson,Male,13-17,6417,4650,1767,4780,1637
2001,Rural,Haryana,Crime Against Women,Dowry Deaths,Male,60+,8178,1418,6760,3283,4895
2004,Rural,Nagaland,Other Crimes,Fraud,Male,13-17,4718,2051,2667,2897,1821
2007,Rural,West Bengal,Property Crime,Theft,Female,18-30,3955,1663,2292,2427,1528
2008,Urban,Tamil Nadu,Property Crime,Burglary,Male,60+,6834,6078,756,6746,88
2006,Urban,Jammu & Kashmir,Other Crimes,Fraud,Female,0-12,9339,1737,7602,5085,4254
2004,Rural,Chhattisgarh,Crime Against Children,Kidnapping,Male,60+,1152,402,750,470,682
2006,Urban,Uttarakhand,Property Crime,Vandalism,Male,13-17,5289,1199,4090,2188,3101
2003,Urban,Sikkim,Crime Against Women,Rape,Male,0-12,340,294,46,297,43
2004,Rural,Tripura,Other Crimes,Cyber Crime,Female,18-30,2756,2402,354,2626,130
2006,Urban,Tamil Nadu,Crime Against Men,Extortion,Female,60+,5853,2992,2861,5177,676
2007,Rural,Jharkhand,Property Crime,Theft,Female,60+,4514,2895,1619,3676,838
2009,Urban,West Bengal,Property Crime,Vandalism,Male,31-45,3784,2854,930,3134,650
2005,Rural,Telangana,Property Crime,Vandalism,Male,31-45,962,764,198,771,191
2007,Rural,Arunachal Pradesh,Crime Against Children,Child Abuse,Female,18-30,5749,1464,4285,3782,1967
2003,Rural,Sikkim,Crime Against Women,Domestic Violence,Female,31-45,8762,2842,5920,5208,3554
2005,Rural,Manipur,Property Crime,Arson,Male,60+,1664,188,1476,250,1414
2003,Rural,Punjab,Property Crime,Arson,Male,18-30,7186,120,7066,5746,1440
2003,Rural,Karnataka,Other Crimes,Cyber Crime,Female,0-12,9292,7205,2087,7495,1797
2007,Rural,Maharashtra,Property Crime,Burglary,Male,60+,3159,309,2850,842,2317
2008,Urban,Himachal Pradesh,Crime Against Men,Murder,Female,0-12,1011,235,776,502,509
2008,Urban,Mizoram,Crime Against Children,Child Abuse,Female,0-12,8912,5252,3660,7266,1646
2002,Rural,Tripura,Property Crime,Arson,Male,46-60,3688,3546,142,3611,77
2007,Rural,Odisha,Property Crime,Burglary,Male,46-60,8681,3915,4766,7855,826
2002,Rural,Assam,Crime Against Men,Murder,Male,31-45,6149,4804,1345,5729,420
2005,Rural,Manipur,Property Crime,Arson,Male,60+,7059,5786,1273,6245,814
2006,Urban,Chhattisgarh,Other Crimes,Corruption,Male,13-17,2654,2474,180,2532,122
2008,Urban,Telangana,Crime Against Men,Murder,Male,31-45,4647,3491,1156,4369,278
2003,Rural,Punjab,Crime Against Children,Trafficking,Male,60+,2927,165,2762,1493,1434
2005,Rural,Andhra Pradesh,Crime Against Men,Extortion,Female,46-60,4699,2030,2669,4683,16
2008,Rural,Delhi,Crime Against Children,Child Labor,Female,31-45,5000,2597,2403,4446,554
2008,Rural,Haryana,Other Crimes,Drug Offense,Female,60+,4282,218,4064,3472,810
2009,Rural,Nagaland,Crime Against Men,Assault,Male,46-60,9797,8511,1286,9599,198
2005,Urban,Andhra Pradesh,Crime Against Women,Dowry Deaths,Female,13-17,6405,1716,4689,4670,1735
2007,Urban,Karnataka,Crime Against Women,Dowry Deaths,Female,13-17,3227,836,2391,1344,1883
2002,Rural,Manipur,Other Crimes,Cyber Crime,Female,0-12,9124,752,8372,4669,4455
2004,Rural,Arunachal Pradesh,Crime Against Children,Child Labor,Male,60+,8436,369,8067,3337,5099
2009,Urban,Goa,Crime Against Women,Dowry Deaths,Male,46-60,8349,7868,481,7968,381
2005,Urban,Karnataka,Crime Against Women,Domestic Violence,Male,31-45,2777,2081,696,2154,623
2010,Urban,Kerala,Property Crime,Vandalism,Female,0-12,2516,1382,1134,1776,740
2001,Urban,Chhattisgarh,Crime Against Women,Dowry Deaths,Female,46-60,1126,934,192,1103,23
2006,Urban,Tamil Nadu,Crime Against Children,Trafficking,Male,46-60,1187,364,823,437,750
2002,Urban,Jammu & Kashmir,Crime Against Women,Rape,Male,46-60,9527,8691,836,9490,37
2001,Urban,Madhya Pradesh,Property Crime,Vandalism,Female,13-17,4593,2266,2327,3347,1246
2001,Urban,West Bengal,Crime Against Men,Robbery,Female,18-30,8321,6754,1567,7335,986
2005,Urban,Karnataka,Other Crimes,Cyber Crime,Male,31-45,9903,3815,6088,5601,4302
2002,Urban,Mizoram,Crime Against Men,Murder,Male,46-60,6629,3972,2657,3998,2631
2004,Urban,Sikkim,Crime Against Women,Rape,Male,46-60,3703,2194,1509,2340,1363
2002,Urban,Goa,Crime Against Men,Extortion,Male,31-45,5722,5209,513,5702,20
2010,Rural,Punjab,Crime Against Children,Child Labor,Female,31-45,585,571,14,581,4
2006,Rural,Sikkim,Crime Against Children,Child Abuse,Female,18-30,9765,8671,1094,9174,591
2002,Rural,Madhya Pradesh,Crime Against Children,Child Labor,Female,18-30,7552,6070,1482,7367,185
2007,Urban,Bihar,Crime Against Women,Rape,Male,0-12,2298,353,1945,394,1904
2010,Urban,Kerala,Property Crime,Vandalism,Male,18-30,3968,1129,2839,2232,1736
2003,Urban,Tripura,Crime Against Men,Murder,Female,0-12,5214,254,4960,1193,4021
2001,Rural,Uttar Pradesh,Crime Against Women,Dowry Deaths,Female,60+,4064,1476,2588,2991,1073
2003,Rural,Madhya Pradesh,Other Crimes,Corruption,Female,31-45,3517,3212,305,3387,130
2002,Urban,Andhra Pradesh,Other Crimes,Corruption,Male,0-12,5780,5219,561,5683,97
2001,Urban,Mizoram,Other Crimes,Cyber Crime,Male,46-60,1285,992,293,1257,28
2010,Rural,Odisha,Crime Against Children,Trafficking,Male,18-30,2515,802,1713,2000,515
2004,Urban,Tamil Nadu,Other Crimes,Corruption,Female,60+,5465,2569,2896,3392,2073
2002,Urban,Sikkim,Crime Against Men,Robbery,Male,31-45,4108,637,3471,3856,252
2006,Rural,Goa,Crime Against Women,Dowry Deaths,Male,31-45,1383,289,1094,309,1074
2003,Rural,Gujarat,Crime Against Women,Molestation,Female,46-60,5460,4903,557,5228,232
2001,Rural,Kerala,Other Crimes,Fraud,Female,31-45,1365,880,485,1173,192
2008,Urban,Delhi,Crime Against Men,Murder,Male,0-12,1248,1156,92,1186,62
2001,Urban,Jammu & Kashmir,Crime Against Women,Dowry Deaths,Male,0-12,9900,7533,2367,8436,1464
2010,Rural,Jharkhand,Other Crimes,Fraud,Male,18-30,8032,7128,904,7519,513
2001,Urban,Kerala,Crime Against Women,Rape,Female,0-12,3407,2563,844,3297,110
2001,Rural,Telangana,Other Crimes,Drug Offense,Female,31-45,305,215,90,271,34
2003,Rural,Meghalaya,Property Crime,Burglary,Male,46-60,2950,2604,346,2851,99
2001,Urban,Tripura,Crime Against Children,Child Abuse,Male,18-30,505,432,73,466,39
2005,Urban,Odisha,Property Crime,Vandalism,Female,18-30,8834,6691,2143,7026,1808
2007,Rural,Himachal Pradesh,Other Crimes,Corruption,Male,60+,4479,2822,1657,3391,1088
2010,Rural,Nagaland,Other Crimes,Cyber Crime,Female,18-30,8180,1780,6400,6864,1316
2002,Rural,West Bengal,Other Crimes,Cyber Crime,Male,0-12,7139,2155,4984,4154,2985
2005,Rural,Gujarat,Other Crimes,Corruption,Male,60+,1645,913,732,1073,572
2009,Urban,Jharkhand,Crime Against Children,Trafficking,Male,46-60,1544,303,1241,1309,235
2006,Rural,West Bengal,Crime Against Children,Child Labor,Female,31-45,7909,2235,5674,6744,1165
2008,Urban,Nagaland,Crime Against Men,Extortion,Male,46-60,1314,365,949,661,653
2002,Rural,Tamil Nadu,Property Crime,Arson,Female,46-60,7738,2132,5606,5837,1901
2001,Urban,Chhattisgarh,Crime Against Men,Assault,Male,31-45,6065,2959,3106,3619,2446
2009,Rural,Uttar Pradesh,Crime Against Women,Rape,Female,60+,3023,2548,475,2654,369
2002,Urban,Himachal Pradesh,Crime Against Women,Rape,Male,46-60,6961,4984,1977,4994,1967
2004,Rural,Mizoram,Crime Against Men,Murder,Male,18-30,2633,2619,14,2630,3
2009,Urban,Odisha,Property Crime,Theft,Female,60+,616,594,22,605,11
2009,Rural,West Bengal,Other Crimes,Cyber Crime,Female,0-12,6606,1892,4714,6405,201
2010,Urban,West Bengal,Crime Against Women,Domestic Violence,Male,31-45,2787,330,2457,618,2169
2003,Rural,Uttar Pradesh,Crime Against Women,Rape,Female,18-30,7236,6260,976,6337,899
2010,Rural,Delhi,Property Crime,Arson,Male,60+,2815,2346,469,2803,12
2001,Rural,Uttar Pradesh,Crime Against Children,Trafficking,Male,46-60,2594,628,1966,1038,1556
2002,Rural,Kerala,Property Crime,Theft,Male,18-30,5524,4407,1117,5313,211
2004,Rural,Chhattisgarh,Property Crime,Theft,Female,31-45,7727,1864,5863,7372,355
2009,Rural,Uttarakhand,Property Crime,Theft,Male,18-30,9448,6032,3416,6783,2665
2001,Urban,Nagaland,Crime Against Women,Molestation,Female,0-12,6825,3510,3315,6021,804
2005,Rural,Maharashtra,Crime Against Women,Molestation,Male,46-60,2916,1949,967,2823,93
2006,Rural,Sikkim,Crime Against Men,Extortion,Female,31-45,3140,2932,208,3125,15
2006,Urban,Bihar,Property Crime,Arson,Female,31-45,2644,1394,1250,2436,208
2005,Rural,Bihar,Crime Against Women,Molestation,Male,46-60,1237,63,1174,548,689
2005,Urban,Jammu & Kashmir,Crime Against Men,Murder,Female,0-12,1721,1377,344,1496,225
2007,Rural,Himachal Pradesh,Crime Against Children,Child Labor,Female,13-17,6058,2100,3958,3472,2586
2005,Urban,Mizoram,Crime Against Women,Molestation,Female,31-45,8914,6132,2782,6823,2091
2001,Urban,Sikkim,Crime Against Children,Child Labor,Female,46-60,106,37,69,69,37
2007,Rural,Punjab,Crime Against Men,Robbery,Female,60+,6111,2503,3608,3159,2952
2010,Rural,Goa,Other Crimes,Cyber Crime,Male,13-17,2426,64,2362,1798,628
2009,Urban,Assam,Property Crime,Arson,Male,18-30,4340,976,3364,3311,1029
2008,Rural,Bihar,Crime Against Women,Domestic Violence,Female,60+,9670,5403,4267,8623,1047
2002,Urban,Rajasthan,Property Crime,Arson,Male,46-60,6384,4321,2063,5871,513
2007,Rural,Bihar,Other Crimes,Cyber Crime,Male,46-60,1004,59,945,785,219
2003,Urban,Arunachal Pradesh,Crime Against Women,Molestation,Male,0-12,3778,2012,1766,2595,1183
2001,Rural,Andhra Pradesh,Crime Against Children,Child Labor,Female,18-30,4218,680,3538,3522,696
2001,Rural,West Bengal,Other Crimes,Corruption,Female,0-12,1390,193,1197,1205,185
2007,Urban,Tamil Nadu,Crime Against Children,Kidnapping,Male,13-17,8987,7319,1668,8843,144
2006,Urban,Tripura,Other Crimes,Corruption,Female,46-60,5841,3664,2177,3761,2080
2005,Rural,Meghalaya,Property Crime,Theft,Female,60+,671,113,558,149,522
2003,Urban,Gujarat,Other Crimes,Cyber Crime,Female,46-60,1948,1017,931,1423,525
2006,Rural,Arunachal Pradesh,Crime Against Women,Rape,Female,13-17,3498,2685,813,3420,78
2009,Urban,Tamil Nadu,Crime Against Children,Trafficking,Female,46-60,3894,1282,2612,3523,371
2004,Urban,Sikkim,Property Crime,Burglary,Male,46-60,5393,1642,3751,5349,44
2010,Rural,Punjab,Crime Against Men,Extortion,Female,31-45,8433,3019,5414,6020,2413
2004,Rural,Mizoram,Other Crimes,Cyber Crime,Male,60+,2924,2195,729,2440,484
2006,Urban,Karnataka,Crime Against Men,Extortion,Male,18-30,7535,473,7062,3370,4165
2010,Rural,Haryana,Other Crimes,Drug Offense,Male,46-60,4361,2278,2083,3708,653
2003,Rural,Kerala,Crime Against Women,Molestation,Female,46-60,5055,4430,625,4600,455
2008,Urban,Gujarat,Property Crime,Vandalism,Female,13-17,4255,663,3592,1331,2924
2002,Urban,Chhattisgarh,Crime Against Children,Kidnapping,Female,13-17,5415,3845,1570,4882,533
2004,Urban,Gujarat,Crime Against Women,Dowry Deaths,Female,60+,6903,4342,2561,5032,1871
2004,Rural,Uttarakhand,Crime Against Men,Extortion,Female,31-45,1623,1163,460,1441,182
2001,Urban,Tamil Nadu,Crime Against Children,Kidnapping,Male,13-17,4533,2502,2031,4378,155
2006,Rural,Gujarat,Other Crimes,Fraud,Female,60+,156,144,12,153,3
2003,Urban,Haryana,Crime Against Men,Murder,Male,13-17,9479,6108,3371,6799,2680
2007,Rural,Mizoram,Other Crimes,Corruption,Male,46-60,3302,3190,112,3301,1
2006,Rural,Tripura,Crime Against Women,Molestation,Female,31-45,4554,1431,3123,4379,175
2006,Rural,Goa,Crime Against Children,Child Labor,Female,13-17,5666,4274,1392,4769,897
2009,Urban,West Bengal,Other Crimes,Cyber Crime,Male,0-12,2430,492,1938,2400,30
2009,Urban,Chhattisgarh,Property Crime,Burglary,Male,31-45,1679,721,958,1082,597
2003,Urban,West Bengal,Crime Against Men,Robbery,Female,18-30,7184,4268,2916,4871,2313
2008,Rural,Delhi,Property Crime,Arson,Female,0-12,1681,49,1632,304,1377
2003,Rural,Jammu & Kashmir,Crime Against Children,Child Labor,Female,60+,6259,797,5462,3044,3215
2001,Urban,Odisha,Other Crimes,Corruption,Male,60+,7426,5456,1970,5668,1758
2004,Urban,Manipur,Crime Against Women,Rape,Female,46-60,931,849,82,862,69
2006,Urban,Telangana,Crime Against Children,Trafficking,Male,46-60,2371,2152,219,2262,109
2009,Rural,Sikkim,Property Crime,Arson,Female,0-12,9405,6187,3218,7888,1517
2005,Urban,Maharashtra,Property Crime,Vandalism,Female,46-60,5465,2892,2573,3409,2056
2008,Rural,Goa,Crime Against Men,Assault,Female,0-12,866,89,777,181,685
2009,Rural,Uttarakhand,Crime Against Women,Dowry Deaths,Female,46-60,4680,2209,2471,3842,838
2004,Rural,Meghalaya,Property Crime,Arson,Female,0-12,7598,561,7037,2227,5371
2003,Urban,Meghalaya,Crime Against Men,Assault,Male,13-17,5889,760,5129,5146,743
2004,Urban,Gujarat,Crime Against Women,Domestic Violence,Male,0-12,7201,47,7154,2970,4231
2008,Rural,Assam,Crime Against Children,Trafficking,Female,60+,911,907,4,911,0
2009,Urban,Karnataka,Crime Against Children,Child Labor,Female,46-60,6168,5093,1075,5816,352
2008,Urban,Goa,Other Crimes,Corruption,Female,60+,8182,3597,4585,5599,2583
2007,Urban,Jharkhand,Property Crime,Theft,Male,31-45,9535,13,9522,6864,2671
2008,Rural,Haryana,Crime Against Women,Molestation,Female,0-12,2530,2089,441,2460,70
2007,Rural,Karnataka,Crime Against Men,Murder,Female,31-45,1855,91,1764,416,1439
2005,Urban,Assam,Crime Against Women,Domestic Violence,Male,46-60,2487,1119,1368,1704,783
2008,Urban,Kerala,Crime Against Children,Trafficking,Female,0-12,3957,314,3643,2746,1211
2003,Rural,Madhya Pradesh,Crime Against Children,Child Abuse,Female,60+,2839,1516,1323,1698,1141
2010,Rural,Arunachal Pradesh,Crime Against Men,Assault,Female,46-60,1297,981,316,1100,197
2004,Rural,Odisha,Crime Against Children,Child Labor,Male,0-12,6986,6957,29,6974,12
2002,Rural,Meghalaya,Property Crime,Vandalism,Female,46-60,3271,313,2958,2475,796
2001,Urban,Karnataka,Property Crime,Theft,Female,0-12,3315,1004,2311,2293,1022
2009,Urban,Telangana,Property Crime,Arson,Male,31-45,3983,2444,1539,2884,1099
2002,Rural,Jammu & Kashmir,Crime Against Women,Domestic Violence,Male,0-12,189,129,60,183,6
2005,Rural,Andhra Pradesh,Property Crime,Vandalism,Male,18-30,202,107,95,201,1
2005,Rural,West Bengal,Property Crime,Burglary,Male,46-60,3405,2630,775,2903,502
2005,Urban,Andhra Pradesh,Crime Against Men,Murder,Male,46-60,8808,1303,7505,2858,5950
